How long b4 we start driving them out of the cities and towns deep into the wilderness where they belong,racist
"Oh my god, see who are shouting of communal violence, Muslims. Dear Muslims, see your own history and read how many temples your forefathers have destroyed. Madarchod, masjid ke sath Muhammad aur Islam ko bhi jameen ke andar pahuncha denge panch feet andar.",racist
The religion of terrorist,racist
The Coudenhove-Kalergi plan – The genocide of the Peoples of Europe,racist
"I prefer being called racist and nazi, then die without fighting back. I am anti-mainstream No #BLM No #Immigration No #vaccine No #whitegenocide",racist
"You anti-whites demand non-white immigration into EVERY white majority country — you call it “promoting diversity” — demand so-called “race” mixing, which is actually only *white* mixing, and use public money for busing and “low-cost” (black) housing to chase down white flight.",racist
"Same energy White daughters to the slaughter! Slimy scumbag Groids slobbering all over our white daughters! Bc of the lies about BLM, George false flag Floyd, white people. Watch out! Sendthemback! WhiteGenocide TheGreatReplacement",racist
#WhiteGenocide #WhitePrivilige to Die! Invaders BEFORE White Tax Paying Citizens,racist
World War Two was fought to make the world safe for #WhiteGenocide,racist
Asian migrants spill the beans. Russia told them to go to Europe. ,racist
"So, before they were claiming that no one could fight it off, and now they are saying its based on an age criteria... But also, being denied medical treatment because he is white should be enough to get her fired and this hospital sued. This is how they plan",racist
And #WhiteGenocide is just tolerance and brotherhood.,racist
The Federation ELITE think this is the ideal couple. #WhiteGenocide,racist
... And in the UK too! They've finally made whites a minority.,racist
"""Racism"" is an exclusively #antiWhite hate slur. ""Progress"" is code for White self hatred and ultimately #WhiteGenocide. This is a disgusting, evil, #antiWhite hate tweet.",racist
I don't remember who published this but it was a mainstream media company This video justifies white genocide,racist
Imma need all our stupid opps to stop spreading lies about us and speak the truth for once. It makes ya'll seem dumb when the truth reveals itself,racist
"Please refer to them as ANTI-WHITES who are doing their part to complete #WhiteGenocide. Would you flood African countries with millions of non-Africans and call Africans ""racist"" if they protested being blended out of existance?",racist
Thank God your descendants are speaking Spanish not German. Diversity is a code word for White Genocide.,racist
Case 1 an indigenous Briton person is very depressed and you tell them that their people are malformed and maladapted. is that indigenous person more likely to take their life or more likely to cheer up? ,racist
